sp_f600xsp_f600,sp_f600xsp_f857,sp_f600xsp_f1200,sp_f857xsp_f857,sp_f857xsp_f1200,sp_f1200xsp_f1200
12873.247730832205,19006.60510247958,20141.859489034952,29434.268722460045,32643.854800154113,38065.04064078546
12845.007620419972,18965.689896054537,20100.795735851272,29371.730389248463,32577.523730226432,37990.32542355414
12817.195913151007,18925.39852601153,20060.341338934646,29310.102230506374,32512.083312681225,37916.48330718274
12789.288866450894,18884.939965376954,20019.69921328176,29248.18062050779,32446.31299890936,37842.26974021281
12761.437044824594,18844.585991802447,19979.177959645585,29186.447755695976,32380.761915627998,37768.321083976065
12733.627637707183,18804.30850327794,19938.751068132093,29124.855636274726,32315.391198724516,37694.617754257335
12705.819251504316,18764.033978793934,19898.328768656123,29063.2699351915,32250.02968627831,37620.92731663051
12678.078172670002,18723.914490859894,19858.09981577114,29001.98472892843,32185.02077206032,37547.646148607724
12650.555166681015,18684.16233952656,19818.274044785503,28941.322753495544,32120.70231866088,37475.140680217984
12623.067112280909,18644.461505109113,19778.502064312557,28880.740458706146,32056.473366824353,37402.744274121615
12595.803021440312,18605.118251604013,19739.135155562853,28820.757189911354,31992.954475523075,37331.224964107154
12568.616843786282,18565.924161245894,19699.96296615786,28761.056316729024,31929.80082598497,37260.17395799552
12541.427678689763,18526.740746556447,19660.820154131918,28701.392460395466,31866.717210374452,37189.24159270908
12514.246364723691,18487.601336379645,19621.763554913603,28641.84217940714,31803.8234841286,37118.61098241904
12487.232854305432,18448.679511369144,19582.89642627603,28582.5775715258,31741.18739115301,37048.23045751655
12460.22034577114,18409.746687018454,19544.008028861477,28523.278523626803,31678.50225343052,36977.787072736784
12433.111578994793,18370.668631139662,19504.97358319708,28463.748637725723,31615.57674286226,36907.08748482761
12406.279080660186,18331.998282821663,19466.330669459872,28404.83571411763,31553.25912744702,36837.0025392873
12379.779739288284,18293.781996967216,19428.09517221531,28346.556025666163,31491.523895503742,36767.46737114134
12353.21083252987,18255.455036931115,19389.74347074104,28288.096596310148,31429.597109985378,36697.72586535619
12326.833695934458,18217.39909695404,19351.66706557612,28230.030704648125,31368.09178510894,36628.47135041954
12300.570577632307,18179.507687752448,19313.748311548497,28172.197500746,31306.809373592434,36559.435289076406
12274.486875626686,18141.855650303532,19276.041912301695,28114.681891708235,31245.80676348317,36490.64360014758
12248.659913069758,18104.571661228758,19238.6893465457,28057.694973885744,31185.31345234551,36422.343563795876
12222.825382750689,18067.26557985388,19201.305582649595,28000.656501458907,31124.75290785944,36353.95881691003
12197.063313075987,18030.087092561862,19164.05900215963,27943.83734025644,31064.429577538132,36285.836669634766
12171.514033515228,17993.22989683261,19127.136769490866,27887.526667229053,31004.652292598395,36218.34966734076
12145.996533011847,17956.425069403227,19090.277813506378,27831.307097861085,30944.990595618878,36151.015344144726
12120.502116987707,17919.692681168162,19053.533544680497,27775.249497760145,30885.561219348634,36084.00389221119
12095.20268047083,17883.309557516313,19017.19151164254,27719.810820504004,30826.845145265965,36017.82307887249
12069.987052423898,17847.085476824614,18981.053249750425,27664.673060742643,30768.515169796803,35952.14177341292
12044.925886096657,17811.04384695921,18945.05500106159,27609.755616029826,30710.364322880963,35886.626646998884
12020.110427363421,17775.39701706381,18909.48797889105,27555.49559344713,30652.95544116024,35821.97451922774
11995.316205361494,17739.785390160436,18873.960177811998,27501.29578685393,30595.616153110157,35757.40691441444
11970.514396546567,17704.19098129564,18838.48297664798,27447.159913880234,30538.39804656004,35693.04311869069
11945.817072307487,17668.737342068198,18803.140039265865,27393.222533820444,30481.38484054159,35628.916620766584
11921.336649528057,17633.542583629023,18767.996163368236,27339.594218667204,30424.609411714147,35564.973282837236
11896.838420112426,17598.3212155637,18732.825712500486,27285.923854374334,30367.79042338737,35500.98376515041
11872.279927851781,17563.01156539904,18697.567188704368,27232.114358711762,30310.826878771382,35436.84072618449
11848.103511236428,17528.237415391523,18662.800523954014,27179.075551255148,30254.59139120043,35373.405952098394
11824.055330672265,17493.62754437164,18628.171395744637,27126.24734930064,30198.533292011918,35310.122113229816
11799.923414168825,17458.885224558937,18593.40436324058,27073.205174901872,30142.249257677773,35246.59777411386
11776.06552178175,17424.49426422443,18558.941312317984,27020.619978075512,30086.372568255618,35183.45662755566
11752.228778739403,17390.12711620641,18524.492398293445,26968.056612202257,30030.502491993684,35120.30695039262
11728.496232231892,17355.891927319524,18490.152435199674,26915.65634387731,29974.762348437467,35057.25510498169
11704.799892744117,17321.70493323504,18455.85476434605,26863.319568327708,29919.07720556595,34994.25014074971
11681.148259761707,17287.595797406928,18421.644190314502,26811.118698686158,29863.544447092787,34931.41650535195
11657.634944514495,17253.725185523857,18387.691223977003,26759.326805574194,29808.457702559183,34869.07876226513
11634.42371655574,17220.2776882602,18354.13212667467,26708.160241311707,29753.996346207765,34807.42707393553
11611.255357858974,17186.90011143696,18320.65663685626,26657.114315840292,29699.686933306235,34745.97525030611
11588.129211546704,17153.61602055932,18287.317461191342,26606.25861427137,29645.647341151314,34684.90280620877
