pl_f217xpl_f217,pl_f217xpl_f353,pl_f217xpl_f545,pl_f217xpl_f857,pl_f353xpl_f353,pl_f353xpl_f545,pl_f353xpl_f857,pl_f545xpl_f545,pl_f545xpl_f857,pl_f857xpl_f857
89.81692034977124,335.4067442697103,737.8466769048925,1050.126409839693,1292.3294720577192,2947.8405727939994,4301.543738162629,7109.460892333293,10986.773954043987,18399.137574888024
89.70431253420968,334.96769325671505,736.8837550969355,1048.866970519507,1290.5704829098454,2943.8405487503587,4296.120993269469,7099.826662168127,10972.792198625704,18376.815022032177
89.59172696454146,334.5287470299854,735.9211606200297,1047.6082119196199,1288.8119940183044,2939.8421012873105,4290.70153215435,7090.197440955226,10958.820959963265,18354.515028468333
89.47987732644074,334.09301768720206,734.966183216831,1046.358766523973,1287.0675682318838,2935.876971754467,4285.322887106248,7080.647450154669,10944.94803391252,18332.342335132544
89.36889101631468,333.6610626844128,734.0203974997979,1045.121671305294,1285.3396521303887,2931.9520954431205,4279.998484749095,7071.196531611618,10931.21236907607,18310.375089024496
89.25803608285568,333.22964930797,733.0760685921914,1043.8872101222032,1283.6140055033056,2928.033447941453,4274.685592416838,7061.7631286448795,10917.509898235146,18288.472453267663
89.14718170241296,332.79823830137286,732.1317460349375,1042.6527603592317,1281.8883691599135,2924.1148285232316,4269.372751566141,7052.3298051813235,10903.807579825354,18266.570130240172
89.03612360142355,332.3661417335329,731.1864041999041,1041.4177331737983,1280.160442551256,2920.192908900285,4264.058397291089,7042.892387664646,10890.10570351679,18244.677219513535
88.92445526441234,331.9319727007613,730.2378603210876,1040.1804634850832,1278.425495690426,2916.260258014647,4258.736888797347,7033.439287782307,10876.395654820566,18222.7876832221
88.81297535740067,331.4985559946152,729.2909137767454,1038.9451475990968,1276.6935592802147,2912.3340677382284,4253.423515990363,7024.000619601404,10862.705589018447,18200.931408490782
88.70305649597603,331.0717844252209,728.3592468639386,1037.7276039105252,1274.9902175443865,2908.474268358227,4248.187942060578,7014.717839672161,10849.199967665149,18179.295256686244
88.59318334275336,330.6452190680204,727.4280900934195,1036.5106944225379,1273.2878062935197,2904.6167713279438,4242.955231035127,7005.440760067579,10835.701447050773,18157.668006408552
88.48349517041713,330.2193977806464,726.498865442599,1035.296942975123,1271.5884894110463,2900.76763247252,4237.736758669161,6996.187252979153,10822.244796651621,18136.117955744412
88.37342436810368,329.79255037369916,725.5690364680747,1034.0844468379682,1269.8867273749497,2896.918822750233,4232.526304510183,6986.945234734254,10808.819713343784,18114.63438212077
88.2633934406744,329.36581692168545,724.6397598020437,1032.873431237867,1268.1854931874066,2893.0725797118225,4227.322353146281,6977.712081217465,10795.413833779408,18093.188811511704
88.15396037299547,328.94163688292485,723.7170859536059,1031.672526830985,1266.4952967296585,2889.255074768937,4222.162368335797,6968.554338926253,10782.12472766596,18071.931204757595
88.04471894731942,328.5183303911868,722.796714514631,1030.4746558701293,1264.8091797808406,2885.4483681356255,4217.0166172488825,6959.425018538632,10768.872949748773,18050.72255246679
87.9354017116026,328.0948103004618,721.8760743198299,1029.2766308075225,1263.1224641791755,2881.6409155104834,4211.870453338845,6950.294794745119,10755.620735194407,18029.513858951243
87.82647444183284,327.67293861360844,720.9599439038848,1028.0861377876263,1261.4430282942071,2877.8542478040076,4206.760367640057,6941.226233135974,10742.479041812105,18008.50830509424
87.71830790005268,327.2541608462921,720.0504265063917,1026.903228772007,1259.7761945258642,2874.094636443648,4201.681738729694,6932.216744659765,10729.409380988744,17987.601347535074
87.61058704154506,326.83725902074355,719.1450040099115,1025.7248402561354,1258.1171888810136,2870.351917187735,4196.621594703742,6923.24319793711,10716.378923628312,17966.73859787448
87.5029031771989,326.420540284055,718.240171509894,1024.547523417636,1256.4591130157387,2866.612207520916,4191.566940941138,6914.2792825548295,10703.365934321591,17945.907452616742
87.3952219628162,326.0037907033524,717.3352854142789,1023.3705137514632,1254.8007898336368,2862.872207134564,4186.514091807704,6905.316354641502,10690.361993542356,17925.103991954667
87.28746082916199,325.5866449103514,716.4292783981468,1022.1919050381384,1253.1405120926615,2859.1266982811803,4181.4534172253225,6896.337966398021,10677.336231033923,17904.2701265483
87.17967044823787,325.16934849598033,715.5228330985248,1021.0126629327035,1251.4794707578194,2855.378991143622,4176.389597161743,6887.353312413394,10664.301632849869,17883.4241786088
87.0719385504907,324.7523004989816,714.6170752510203,1019.8347520685008,1249.819485139878,2851.6342077898294,4171.3314448221145,6878.376766477852,10651.28278098165,17862.608895435038
86.96428790096435,324.33559761197273,713.7122725218493,1018.6586911151685,1248.1609660860252,2847.893486222365,4166.2811673402275,6869.411483821816,10638.28580377368,17841.836205275533
86.85602037135669,323.91689106723356,712.8045339050622,1017.4805414122347,1246.495946944976,2844.1432844351966,4161.224259769808,6860.432623730714,10625.279981740863,17821.059535643737
86.74878354786223,323.502573147945,711.9067613421036,1016.3139501730873,1244.849659166939,2840.4355739848925,4156.216707556395,6851.55012794022,10612.387403567935,17800.42245688053
86.6420395846382,323.09023748952075,711.0132691718179,1015.1520809943456,1243.211537024662,2836.745728735321,4151.228986580823,6842.706996593228,10599.538680538326,17779.834377502077
86.5353127132168,322.6779796510282,710.120016599502,1013.9907350132053,1241.573769377087,2833.056975692651,4146.24365193146,6833.867234484393,10586.697327898237,17759.26244671111
86.42841320412015,322.2654085883664,709.2269287341711,1012.8303693580635,1239.9358545801617,2829.3703716086884,4141.263435375164,6825.0357784565695,10573.871324322408,17738.719365299836
86.32202740583683,321.85491625409907,708.338442588416,1011.6759671211382,1238.306292122208,2825.7021537364008,4136.307233817543,6816.245495263027,10561.102238537493,17718.26447478117
86.21587690624636,321.44558105453757,707.4535345685649,1010.5286123831945,1236.6820993388792,2822.0498626354192,4131.381784067742,6807.500963516222,10548.42021385922,17697.975050002926
86.10991150433911,321.03709376126886,706.5711356229174,1009.3859820340829,1235.0618661402377,2818.409452875631,4126.478787030727,6798.792471889054,10535.806726804269,17677.818066764383
86.00394881825608,320.6286190223401,705.6887761527009,1008.2434405301451,1233.4416911940407,2814.769227246361,4121.576206207638,6790.084567385431,10523.194578286872,17657.664166242903
85.89906328034122,320.2248560680697,704.8176586704328,1007.1150055572687,1231.8421296471518,2811.178219883321,4116.73553687889,6781.4948392308415,10510.733859894315,17637.71595528204
85.79436633550156,319.82194059449864,703.9487440334092,1005.9900635403633,1230.246351040878,2807.596998421869,4111.910323977534,6772.930654886708,10498.314751370903,17617.841182342363
85.68962747440996,319.41886162306554,703.0794237063685,1004.8644937504289,1228.6499187354161,2804.01409849139,4107.082402288402,6764.361967195589,10485.88800968166,17597.952859740413
85.58488914359413,319.0157849133219,702.2101094150383,1003.7389348126299,1227.053496210172,2800.431225207195,4102.254529493496,6755.793354919468,10473.461412857056,17578.064834887675
